ID No.,Nickname,PCE,Voc (V),Jsc (mA cm^2),FF,Mw (kg mol^-1),Mn (kg mol^-1),PDI (=Mw/Mn),Monomer (g mol^-1),-HOMO (eV),-LUMO (eV),bandgap(eV),SMILES
309,P1,2.85,0.62,6.92,0.66,17.0,9.7 ,1.75 ,556,5.22,3.21,2.01,CC1=CC=C(S1)C(S2)=CC3=C2C(OCC(CCCC)CC)=C(C=C(C)S4)C4=C3OCC(CCCC)CC
312,PBDT-3MT,4.52,0.86,10.5,0.5,92.0,26.4 ,3.90 ,614,5.43,3.36,2.07,CC1=C(C(OC)=O)C=C(S1)C(S2)=CC3=C2C(OCC(CCCC)CC)=C(C=C(C)S4)C4=C3OCC(CCCC)CC
313,PBDT-BT,2.01,0.82,5.86,0.458,28.7,14.9 ,1.93 ,975,5.37,3.25,2.1,CC1=CC2=C(OCC(CCCC)CC)C3=C(C=C(C4=C(CCCCCCCCCCCC)C=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)S4)S3)C(OCC(CCCC)CC)=C2S1
314,PBDT-BTC,0.52,0.98,1.27,0.414,39.8,11.8 ,3.37 ,1025,5.58,3.53,1.96,CC1=CC2=C(OCC(CCCC)CC)C3=C(C=C(C4=C(CCCCCCCCCCCC)C(C#N)=C(C5=C(C#N)C(CCCCCCCCCCCC)=C(C)S5)S4)S3)C(OCC(CCCC)CC)=C2S1
315,PBDT-BTCox,4.9,0.86,10.1,0.584,66.5,37.6 ,1.77 ,1057,5.5,3.51,1.74,CC(S1)=CC2=C1C(OCC(CC)CCCC)=C(C=C(C3=C(OCCCCCCCCCCCC)C(C#N)=C(C4=C(C#N)C(OCCCCCCCCCCCC)=C(C)S4)S3)S5)C5=C2OCC(CC)CCCC
317,PBDT[2H]T,2.8,0.8,6.3,0.58,33.2,15.5 ,2.10 ,556,5.32,3.24,2.1,CC1=CC=C(S1)C(S2)=CC3=C2C(OCC(CCCC)CC)=C(C=C(C)S4)C4=C3OCC(CCCC)CC
318,PBTTPD,4.7,0.95,8.02,0.62,13.6,9.7 ,1.40 ,793,5.56,3.1,1.82,CC1=C(CCCCCCCCCCCC)C=C(S1)C(S2)=CC(CCCCCCCCCCCC)=C2C3=C(C(N(CC(CC)CCCC)C4=O)=O)C4=C(C)S3
319,PDTTTPD,5.1,0.85,8.99,0.67,11.0,9.2 ,1.20 ,931,5.54,3.0,1.84,CC1=C2C(C(N(CC(CCCCCCCC)CCCCCC)C2=O)=O)=C(C3=CC=C(C4=C(CCCCCCCC)C(SC(C5=CC=C(C)S5)=C6CCCCCCCC)=C6S4)S3)S1
320,PBTTPD,1.9,0.9,5.01,0.42,103.0,50.0 ,2.00 ,920,5.66,3.86,1.8,CC1=C(CCCCCCCCCCCC)C=C(C2=CC(CCCCCCCCCCCC)=C(C3=C(C(N(C(CCCCCCCC)CCCCCCCC)C4=O)=O)C4=C(C)S3)S2)S1
322,PTTTPD-C8C8 (P1),4.84,0.87,9.5,0.6,110.0,44.0 ,2.50 ,1002,5.66,3.86,1.81,CC1=C2C(C(N(C(CCCCCCCC)CCCCCCCC)C2=O)=O)=C(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)S4)S3)S1
324,PTTTPD-EG (P3),1.99,0.76,4.91,0.56,20.0,11.0 ,1.80 ,851,5.31,3.54,1.8,CC1=C2C(C(N(COCCOC)C2=O)=O)=C(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)S4)S3)S1
326,PTTFPD-C8C8 (P5),0.43,0.81,1.57,0.39,55.0,20.0 ,2.70 ,986,5.65,3.8,1.93,CC1=C2C(C(N(C(CCCCCCCC)CCCCCCCC)C2=O)=O)=C(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)S4)S3)O1
327,PTTFPD-C8 (P6),3.26,0.8,6.76,0.63,70.0,41.0 ,1.70 ,860,5.54,3.75,1.87,CC1=C2C(C(N(CCCCCCCC)C2=O)=O)=C(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)S4)S3)O1
328,PTSTPD-C8C8 (P7),4.28,0.88,8.14,0.61,71.0,36.0 ,2.00 ,1050,5.49,3.82,1.78,CC1=C2C(C(N(C(CCCCCCCC)CCCCCCCC)C2=O)=O)=C(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)[Se]4)S3)S1
331,P(PTQD-Th),5.48,0.92,10.76,0.56,37.2,19.4 ,1.92 ,701,5.73,3.76,1.84,CC1=CC=C(S1)C(S2)=CC3=C2C(N=C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C4=O)=O)C4=N5)=C5C6=C3C=C(C)S6
332,P(PTQD-2Th),5.58,0.8,11.82,0.6,38.9,18.5 ,2.10 ,783,5.54,3.8,1.7,CC1=CC(C(C=C(C2=CC=C(C3=CC=C(C)S3)S2)S4)=C4C5=C6N=C7C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C7=O)=O)=N5)=C6S1
333,PPDT1,3.28,0.87,8.3,0.453,89.3,49.6 ,1.80 ,847,5.27,2.68,2.0,CC1=CC(N(CC(CCCCCC)CCCC)C(C2=C3SC(C4=CC(C(OCC(CCCC)CC)=C(SC(C)=C5)C5=C6OCC(CCCC)CC)=C6S4)=C2)=O)=C3S1
336,PPDT4,0.95,0.86,3.5,0.316,45.6,30.4 ,1.50 ,735,5.59,2.77,2.03,CC1=CC(N(CC(CCCCCC)CCCC)C(C2=C3SC(C4=CC(CCCCCC)=C(C5=C(CCCCCC)C=C(C)S5)S4)=C2)=O)=C3S1
337,PPDT5,2.57,0.75,8.47,0.405,30.5,12.7 ,2.40 ,819,5.39,2.87,1.82,CC1=CC(N(CC(CCCCCC)CCCC)C(C2=C3SC(C4=CC5=C(C(SC(C)=C6)=C6[Si]5(CCCCCCCC)CCCCCCCC)S4)=C2)=O)=C3S1
338,PSOxTT,2.1,0.56,7.5,0.49,48.6,24.3 ,2.00 ,1006,5.0,3.27,1.73,CC1=CC([Si]2(CCCCCCCC)CCCCCCCC)=C(S1)C3=C2C=C(S3)C4=CC(OCCCCCCCC)=C(C5=NC(SC(C6=C(OCCCCCCCC)C=C(C)S6)=N7)=C7S5)S4
339,PSOTT,4.1,0.62,10.2,0.65,35.7,15.5 ,2.30 ,974,5.1,3.31,1.79,CC1=CC([Si]2(CCCCCCCC)CCCCCCCC)=C(S1)C3=C2C=C(S3)C4=CC(CCCCCCCC)=C(C5=NC(SC(C6=C(CCCCCCCC)C=C(C)S6)=N7)=C7S5)S4
340,PSEHTT,5.0,0.65,12.6,0.61,133.6,33.9 ,3.94 ,974,5.1,3.3,1.82,CC1=CC([Si]2(C[C@H](CC)CCCC)C[C@H](CC)CCCC)=C(S1)C3=C2C=C(S3)C4=CC(C[C@@H](CCCC)CC)=C(C5=NC(SC(C6=C(CC(CCCC)CC)C=C(C)S6)=N7)=C7S5)S4
341,PBDT-BDTP (P1),5.05,0.89,10.37,0.547,156.8,49.0 ,3.20 ,1445,5.53,2.68,1.98,O=C(C1=C2SC(C3=CC(C(N(C[C@H](CCCCCCCCCC)CCCCCCCC)C4=C5SC(C6=CC7=C(C(OC[C@@H](CC)CCCC)=C(C=C(C)S8)C8=C7OC[C@@H](CCCC)CC)S6)=C4)=O)=C5S3)=C1)N(C[C@@H](CCCCCCCCCC)CCCCCCCC)C9=C2SC(C)=C9
342,PS-BDTP (P2),6.76,0.91,9.96,0.745,180.1,62.1 ,2.90 ,1131,5.51,2.8,1.8,O=C(C1=C2SC(C3=CC(C(N(C[C@H](CCCCCCCCCC)CCCCCCCC)C4=C5SC=C4C6=CC=C(C)[Se]6)=O)=C5S3)=C1)N(C[C@@H](CCCCCCCCCC)CCCCCCCC)C7=C2SC(C)=C7
343,PDTPO-BDTO,6.84,0.93,10.4,0.706,291.1,97.7 ,2.98 ,960,5.38,3.37,2.02,CC1=CC(N(C[C@@H](CCCCCCCCCC)CCCCCCCC)C(C2=C3SC(C4=CC5=C(C(OC[C@H](CC)CCCC)=C(C=C(C)S6)C6=C5OC[C@@H](CCCC)CC)S4)=C2)=O)=C3S1
345,PThBDTP,8.98,0.96,12.59,0.755,264.0,89.8 ,2.94 ,1083,5.52,2.74,1.86,O=C(C1=C2SC(C3=CC(C(N(C[C@H](CCCCCCCCCC)CCCCCCCC)C4=C5SC=C4C6=CC=C(C)S6)=O)=C5S3)=C1)N(C[C@@H](CCCCCCCCCC)CCCCCCCC)C7=C2SC(C)=C7
347,PCTTz,0.71,0.76,2.27,0.41,111.8,43.0 ,2.60 ,628,5.46,3.56,2.11,CC1=C2C(N=C(CCCCCCCC)S2)=C(C3=CC=C(C4=CC=C(C)C=C4N5C(CCCCCC)CCCCCC)C5=C3)S1
348,PBTTz,1.41,0.52,4.64,0.58,12.0,10.0 ,1.20 ,725,5.24,3.57,1.73,CC1=C2C(N=C(CCCCCCCC)S2)=C(C3=CC4=C(C(OCC(CCCC)CC)=C(C=C(C)S5)C5=C4OCC(CC)CCCC)S3)S1
349,PIFTBT6,0.97,0.98,3.25,0.31,63.5,26.3 ,2.42 ,916,5.49,3.46,1.97,CC1=CC=C(C(C2(CCCCCC)CCCCCC)=C1)C3=C2C=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(C)S7)C8=NSN=C86)S5)C=C4C9(CCCCCC)CCCCCC)C9=C3
350,PIFTBT10,2.44,1.0,6.1,0.4,21.0,7.8 ,2.65 ,1141,5.45,3.36,2.0,CC1=CC=C(C(C2(CCCCCCCCCC)CCCCCCCCCC)=C1)C3=C2C=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(C)S7)C8=NSN=C86)S5)C=C4C9(CCCCCCCCCC)CCCCCCCCCC)C9=C3
351,PIFDTQ10,3.04,1.0,7.57,0.4,45.9,22.5 ,2.03 ,1289,5.47,3.44,1.97,CC1=CC=C(C(C2(CCCCCCCCCC)CCCCCCCCCC)=C1)C3=C2C=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(C)S7)C8=NC(C9=CC=CC=C9)C(C%10=CC=CC=C%10)N=C86)S5)C=C4C%11(CCCCCCCCCC)CCCCCCCCCC)C%11=C3
352,P3FTBT6,4.5,1.04,10.3,0.42,24.9,14.2 ,1.75 ,1249,5.45,3.45,1.96,CC1=CC=C(S1)C(C2=NSN=C23)=CC=C3C4=CC=C(C5=CC=C6C7=CC8=C(C=C7C(CCCCCC)(CCCCCC)C6=C5)C9=CC%10=C(C(C=CC(C%11=CC=C(C)C=C%11)=C%12)=C%12C%10(CCCCCC)CCCCCC)C=C9C8(CCCCCC)CCCCCC)S4
353,PITBT,5.92,0.94,12.51,0.502,25.6,12.6 ,2.03 ,640,5.48,3.66,1.82,CC1=CC=C(C2=CC=C(C(SC(C3=CC=C(C)C4=NSN=C43)=C5)=C5C6(CC(CC)CCCC)CC(CCCC)CC)C6=C2)S1
354,PITFBT,9.14,0.9,15.36,0.659,43.6,27.8 ,1.57 ,658,5.5,3.68,1.8,CC1=CC=C(C2=CC=C(C(SC(C3=C(F)C=C(C)C4=NSN=C43)=C5)=C5C6(CC(CC)CCCC)CC(CCCC)CC)C6=C2)S1
355,HXS-1,5.4,0.81,9.8,0.69,51.4,16.6 ,3.10 ,861,5.21,3.35,1.95,CC1=CC=C(S1)C(C2=NSN=C23)=C(OCCCCCCCC)C(OCCCCCCCC)=C3C4=CC=C(C5=CC(N(CCCCCCCC)C6=CC(C)=CC=C67)=C7C=C5)S4
358,PCDTTPD-C6C8,0.13,1.0,0.35,0.39,10.0,6.0 ,1.70 ,973,5.5,3.5,2.06,CC1=C([H])C=C(C(S2)=C3C(C(N(CC(CCCCCCCC)CCCCCC)C3=O)=O)=C2C4=CC([H])=C(C5=CC(N(C(CCCCCCCC)CCCCCCCC)C6=CC(C)=CC=C67)=C7C=C5)S4)S1
359,PCTTPD,1.14,0.94,2.7,0.45,36.2,20.0 ,1.81 ,973,5.72,3.69,2.03,CC1=CC=C(C(S2)=C3C(C(N(CC(CCCCCCCC)CCCCCC)C3=O)=O)=C2C4=CC=C(C5=CC(N(C(CCCCCCCC)CCCCCCCC)C6=CC(C)=CC=C67)=C7C=C5)S4)S1
361,PCBTTPD,3.42,0.86,7.79,0.51,65.2,20.2 ,3.23 ,1137,5.57,3.66,1.91,CC1=CC=C(C(C=C2)=C(N3C(CCCCCCCC)CCCCCCCC)C=C2C4=CC=C(C5=CC=C(C6=C(C(N(CC(CCCCCCCC)CCCCCC)C7=O)=O)C7=C(C8=CC=C(C9=CC=C(C)S9)S8)S6)S5)S4)C3=C1
362,PTTDBC-PhQC8,2.63,0.88,7.13,0.42,8.6,5.5 ,1.56 ,1308,5.31,3.42,1.89,CC1=C2C(N=C(C3=CC(OCC(CCCC)CC)=CC=C3)C(C4=CC=CC(OCC(CCCC)CC)=C4)=N2)=C(C5=CSC6=C5C(C=C(CCCCCC)S7)=C7C8=CC9=C(C=C86)N(CCCCCC)C(C9=C%10)=CC%11=C%10C(SC(CCCCCC)=C%12)=C%12C%13=C%11SC(C)=C%13)C=C1
363,PTTDBC-BTC12,4.5,0.93,8.78,0.55,29.1,14.6 ,2.00 ,1274,5.35,3.41,1.94,CC1=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C(C2=CSC3=C2C(C=C(CCCCCC)S4)=C4C5=CC6=C(C=C53)N(CCCCCC)C(C6=C7)=CC8=C7C(SC(CCCCCC)=C9)=C9C%10=C8SC(C)=C%10)C%11=NSN=C1%11
365,PC2,7.26,0.94,12.84,0.587,44.8,23.3 ,1.90 ,1178,5.43,3.56,2.01,CC1=CC(C2(CCCCCC)CCCCCC)=C(C=C1)C3=C2C=C(C(C=C4C(C5=CC=C(C6=CC=C(C7=C(OCCCC)C(OCCCC)=C(C8=CC=C(C)S8)C9=NSN=C97)S6)C=C5C4(CCCCCC)CCCCCC)=C%10)=C%10N%11CC)C%11=C3
366,PC3,6.68,0.93,11.18,0.633,23.1,14.7 ,1.60 ,1262,5.44,3.65,1.97,CC1=CC(C2(CCCCCC)CCCCCC)=C(C=C1)C3=C2C=C(C(C=C4C(C5=CC=C(C6=CC=C(C7=C(OCCCC)C(OCCCC)=C(C8=CC=C(C)S8)C9=NSN=C97)S6)C=C5C4(CCCCCC)CCCCCC)=C%10)=C%10N%11CC(CC)CCCC)C%11=C3
367,HD-PDFC-DTBT,7.39,0.93,14.11,0.563,98.1,38.3 ,2.56 ,1010,5.32,3.3,1.96,CC1=C(F)C=C(C2=CC(F)=C(C3=CC=C(C4=C(OCCCCCCCC)C(OCCCCCCCC)=C(C5=CC=C(C)S5)C6=NSN=C64)S3)C=C2N7CC(CCCCCC)CCCCCCCC)C7=C1
368,PAn-BTBT (P1),2.23,0.96,4.4,0.53,185.0,57.0 ,3.24 ,1425,5.4,3.28,2.12,CC(C=C1)=CC=C1C2=C3C=C(OCCCCCCCC)C(OCCCCCCCC)=CC3=C(C4=CC=C(C5=CC=C(C6=C(OCCCCCCCC)C(OCCCCCCCC)=C(C7=CC=C(C)S7)C8=NSN=C86)S5)C=C4)C9=C2C=C(OCCCCCCCC)C(OCCCCCCCC)=C9
370,PTP27-DBT,3.5,0.82,10.2,0.41,14.0,7.0 ,2.00 ,1129,5.4,2.91,1.85,CC1=CC=C(C(C=C(C2=CC=C(C3=C(OCCCCCCCC)C(OCCCCCCCC)=C(C4=CC=C(C)S4)C5=NSN=C35)S2)C=C6)=C6C7=C(C(OCC(CCCC)CC)=O)SC(C(OCC(CCCC)CC)=O)=C78)C8=C1
371,PTP36-DBT,0.9,0.79,4.4,0.268,14.0,7.0 ,2.00 ,1129,5.7,3.18,1.85,CC1=CC=C(C(C=CC(C2=CC=C(C3=C(OCCCCCCCC)C(OCCCCCCCC)=C(C4=CC=C(C)S4)C5=NSN=C35)S2)=C6)=C6C7=C(C(OCC(CCCC)CC)=O)SC(C(OCC(CCCC)CC)=O)=C78)C8=C1
372,PPhIBDT-C12 (P2),1.46,0.8,3.43,0.547,28.9,8.5 ,3.40 ,1008,5.36,3.02,2.1,CC1=CC=C(C2=C(C(N(CC(CC)CCCC)C3=O)=O)C3=C(C4=CC=C(C5=CC(C(OCCCCCCCCCCCC)=C(SC(C)=C6)C6=C7OCCCCCCCCCCCC)=C7S5)S4)C=C2)S1
374,PBEHTT,2.03,0.71,5.85,0.49,48.9,25.9 ,1.89 ,963,5.42,3.22,2.22,CC(S1)=CC(CC(CCCC)CC)=C1C2=NC(S3)=C(S2)N=C3C4=C(C[C@@H](CCCC)CC)C=C(C5=CC([Si](CC(CCCC)CC)(CC(CC)CCCC)C6=C7C=CC(C)=C6)=C7C=C5)S4
375,PTTEHV,1.03,0.53,5.02,0.39,4.2,2.5 ,1.65 ,584,5.4,3.53,1.8,CC(S1)=CC(CC(CCCC)CC)=C1C2=NC(S3)=C(S2)N=C3C4=C(C[C@@H](CCCC)CC)C=C(/C=C/C)S4
376,PCEHTT,0.86,0.69,5.0,0.25,4.5,2.8 ,1.62 ,962,5.32,3.44,1.84,CC(S1)=CC(CC(CCCC)CC)=C1C2=NC(S3)=C(S2)N=C3C4=C(C[C@@H](CCCC)CC)C=C(C5=CC(N(C(CC(CC)CCCC)CC(CCCC)CC)C6=C7C=CC(C)=C6)=C7C=C5)S4
377,PBTOTT,0.99,0.75,5.3,0.25,284.6,103.0 ,2.76 ,946,5.16,3.34,1.82,CC(S1)=CC(CCCCCCCC)=C1C2=NC(S3)=C(S2)N=C3C4=C(CCCCCCCC)C=C(C5=C(CCCCCCCC)C=C(C6=CC(CCCCCCCC)=C(C)S6)S5)S4
378,PCPEHTT,2.4,0.73,9.68,0.34,11.7,8.0 ,1.46 ,958,5.01,3.3,1.85,CC(S1)=CC(CC(CC)CCCC)=C1C2=NC(S3)=C(S2)N=C3C4=C(C[C@@H](CC)CCCC)C=C(C5=CC6=C(C(SC(C)=C7)=C7C6(C[C@H](CC)CCCC)CC(CC)CCCC)S5)S4
380,PPEHTT,0.8,0.5,4.41,0.36,13.5,8.4 ,1.60 ,959,4.91,3.18,1.73,CC(S1)=CC(CC(CCCC)CC)=C1C2=NC(S3)=C(S2)N=C3C4=C(C[C@@H](CCCC)CC)C=C(S4)C5=CC6=C(C(SC(C)=C7)=C7N6CC(CCCCCCCC)CCCCCC)S5
381,PDEHTT,5.6,0.74,10.8,0.7,44.5,19.7 ,2.26 ,1115,5.65,3.68,1.97,CC(S1)=CC(CC(CCCC)CC)=C1C2=NC(S3)=C(S2)N=C3C4=C(C[C@@H](CCCC)CC)C=C(S4)C5=CC6=C(OC[C@@H](CCCCCC)CCCC)C7=C(C=C(C)S7)C(OCC(CCCCCC)CCCC)=C6S5
385,PBDTTPD,7.1,0.93,10.89,0.7,48.0,20.0 ,2.40 ,737,5.56,3.75,1.8,O=C1N(CCCCCCCC)C(C2=C(C)SC(C(S3)=CC4=C3C(OC[C@@H](CC)CCCC)=C5C(SC(C)=C5)=C4OCC(CC)CCCC)=C21)=O
386,PNDTTPD (P1),4.0,0.69,11.54,0.5,90.0,30.0 ,3.00 ,914,5.3,3.5,1.8,O=C1N(C(CCCCCCCC)CCCCCCCC)C(C2=C(C)SC(C3=CC4=C(OC[C@@H](CC)CCCC)C5=CC(SC(C)=C6)=C6C(OC[C@@H](CC)CCCC)=C5C=C4S3)=C21)=O
387,PBDTTPD (P2),3.4,0.78,8.37,0.52,170.0,70.0 ,2.40 ,864,5.47,3.59,1.88,O=C1N(C(CCCCCCCC)CCCCCCCC)C(C2=C(C)SC(C3=CC4=C(OC[C@@H](CC)CCCC)C(SC(C)=C5)=C5C(OCC(CC)CCCC)=C4S3)=C21)=O
388,PBDTTPD,4.2,0.87,9.1,0.538,75.9,33.0 ,2.30 ,737,5.43,3.4,1.82,O=C1N(CCCCCCCC)C(C2=C(C)SC(C(S3)=CC4=C3C(OC[C@@H](CC)CCCC)=C5C(SC(C)=C5)=C4OCC(CC)CCCC)=C21)=O
389,PBDTT-LTPD,7.59,1.0,14.32,0.52,36.2,15.6 ,2.32 ,1383,5.62,3.43,2.04,CC1=C(C(N(CCCCCCCC)C2=O)=O)C2=C(C(S3)=C(CCCCCC)C(CCCCCC)=C3C4=C(C(N(CCCCCCCC)C5=O)=O)C5=C(C6=CC(C(C7=CC=C(CC(CCCC)CC)S7)=C(SC(C)=C8)C8=C9C%10=CC=C(C[C@@H](CCCC)CC)S%10)=C9S6)S4)S1
390,PTAC-TPD (P1),4.8,0.89,8.1,0.67,113.5,20.5 ,5.53 ,1574,5.35,3.51,1.9,CC1=CC2=C(C(C(OCC(CCCCCCCCCC)CCCCCCCCCCCC)=NC(C=C3)=C4C5=C3C6=C7SC(C8=CC=C(C9=C(C(N(CC(CCCC)CC)C%10=O)=O)C%10=C(C%11=CC=C(C)S%11)S9)S8)=C6)=C4C%12=C2C=CC%13=C%12C5=C7C(OCC(CCCCCCCCCC)CCCCCCCCCCCC)=N%13)S1
391,PBDT(F)TPD,2.7,0.9,7.8,0.42,34.8,14.5 ,2.40 ,837,4.85,2.76,1.78,O=C1N(CCCCCCCC)C(C2=C(C)SC(C(S3)=CC4=C3C(C5=CC=C(CC(CC)CCCC)O5)=C6C(SC(C)=C6)=C4C7=CC=C(C[C@H](CCCC)CC)O7)=C21)=O
393,PBDT(S)TPD,4.3,0.98,8.7,0.48,40.1,12.7 ,3.20 ,965,4.98,2.76,1.85,O=C1N(CCCCCCCC)C(C2=C(C)SC(C(S3)=CC4=C3C(C5=CC=C(CC(CC)CCCC)[Se]5)=C6C(SC(C)=C6)=C4C7=CC=C(C[C@H](CCCC)CC)[Se]7)=C21)=O
394,PBDT-TZNT (P1),3.35,0.88,7.42,0.51,122.3,48.9 ,2.50 ,1315,5.21,3.31,1.9,CC1=CC2=C(C3=CC=C(CC(CCCC)CCCCCC)S3)C(S4)=C(C(C5=CC=C(CC(CCCC)CCCCCC)S5)=C2S1)C=C4C6=CC=C(S6)C7=CC8=C(C=C(C9=CC=C(C)S9)C%10=NN(CCCCCCCC)N=C%108)C%11=NN(CCCCCCCC)N=C7%11
395,PBDT-TZNT (P2),7.11,0.92,11.71,0.65,116.2,74.5 ,1.56 ,1539,5.23,3.3,1.93,CC1=CC2=C(C3=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S3)C(S4)=C(C(C5=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S5)=C2S1)C=C4C6=CC=C(S6)C7=CC8=C(C=C(C9=CC=C(C)S9)C%10=NN(CCCCCCCC)N=C%108)C%11=NN(CCCCCCCC)N=C7%11
397,PBDTFBZO,6.25,0.91,11.81,0.582,106.3,48.3 ,2.20 ,1036,5.38,3.28,1.83,CC1=CC=C(C2=CC=C(C3=CC=C(C4=CC(C(SC[C@H](CCCCCC)CCCC)=C(SC(C)=C5)C5=C6SCC(CCCCCC)CCCC)=C6S4)O3)C7=NN(CC(CCCCCC)CCCC)N=C27)O1
398,PBDTFBZS,7.74,0.88,12.36,0.712,75.2,39.6 ,1.90 ,1068,5.32,3.26,1.81,CC1=CC=C(C2=CC=C(C3=CC=C(C4=CC(C(SC[C@H](CCCCCC)CCCC)=C(SC(C)=C5)C5=C6SCC(CCCCCC)CCCC)=C6S4)S3)C7=NN(CC(CCCCCC)CCCC)N=C27)S1
399,FTAZ,5.75,0.85,8.89,0.759,149.0,81.0 ,1.84 ,1068,5.45,3.45,2.0,CC1=CC=C(C2=C(F)C(F)=C(C3=CC=C(C4=CC(C(CCC(CCCCCC)CCCC)=C(SC(C)=C5)C5=C6CCC(CCCCCC)CCCC)=C6S4)S3)C7=NN(CC(CCCCCC)CCCC)N=C27)S1
400,PrzTAZ,4.75,0.96,8.33,0.597,78.4,53.0 ,1.48 ,1034,5.66,3.73,1.93,CC1=CC=C(C2=NN=C(C3=CC=C(C4=CC(C(CCC(CCCCCC)CCCC)=C(SC(C)=C5)C5=C6CCC(CCCCCC)CCCC)=C6S4)S3)C7=NN(CC(CCCCCC)CCCC)N=C27)S1
401,PBnDT?PyCNTAZ,7.52,0.965,10.92,0.714,200.9,82.0 ,2.45 ,1058,5.67,3.83,1.84,CC1=CC=C(C2=C(C#N)N=C(C3=CC=C(C4=CC(C(CCC(CCCCCC)CCCC)=C(SC(C)=C5)C5=C6CCC(CCCCCC)CCCC)=C6S4)S3)C7=NN(CC(CCCCCC)CCCC)N=C27)S1
402,CNTAZ,5.53,1.03,8.97,0.599,173.3,75.0 ,2.31 ,1082,5.73,3.96,1.77,CC1=CC=C(C2=C(C#N)C(C#N)=C(C3=CC=C(C4=CC(C(CCC(CCCCCC)CCCC)=C(SC(C)=C5)C5=C6CCC(CCCCCC)CCCC)=C6S4)S3)C7=NN(CC(CCCCCC)CCCC)N=C27)S1
403,PTFBDT-BZS,8.24,0.89,12.67,0.73,223.6,66.8 ,3.35 ,1333,5.5,3.69,1.81,CC1=CC=C(C2=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C(C3=CC=C(C4=CC(C(C5=CC(F)=C(CC(CC)CCCC)C(F)=C5)=C(SC(C)=C6)C6=C7C8=CC(F)=C(CC(CCCC)CC)C(F)=C8)=C7S4)S3)C9=NSN=C29)S1
404,PTFBDT-BZO,5.67,0.96,9.24,0.64,255.1,67.0 ,3.81 ,1317,5.62,3.8,1.82,CC1=CC=C(C2=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C(C3=CC=C(C4=CC(C(C5=CC(F)=C(CC(CC)CCCC)C(F)=C5)=C(SC(C)=C6)C6=C7C8=CC(F)=C(CC(CCCC)CC)C(F)=C8)=C7S4)S3)C9=NON=C29)S1
405,PTZBIBDT,8.63,0.87,13.5,0.74,56.7,,2.52 ,1180,5.34,3.46,1.81,CC1=CC=C(C2=C(C(N(CCCCCCCC)C3=O)=O)C3=C(C4=CC=C(C5=CC(C(C6=CC=C(CC(CC)CCCC)S6)=C(SC(C)=C7)C7=C8C9=CC=C(CC(CC)CCCC)S9)=C8S5)S4)C%10=NN(CCCCCCCC)N=C2%10)S1
406,PV-BDTC1,3.15,0.93,5.9,0.594,91.9,31.7 ,2.90 ,1251,5.56,3.49,2.07,CC1=CC=C(C(C2=C3SC(C(OCC(CCCCCC)CCCC)=O)=C2)=C4C(C=C(C(OCC(CCCCCC)CCCC)=O)S4)=C3C5=CC=C(C6=CC(C(OCC(CC)CCCC)=C(SC(C)=C7)C7=C8OCC(CCCC)CC)=C8S6)S5)S1
407,PV-BDTC2,7.33,1.03,10.37,0.7,59.8,35.2 ,1.70 ,1383,5.67,3.58,2.09,CC1=CC=C(C(C2=C3SC(C(OCC(CCCCCC)CCCC)=O)=C2)=C4C(C=C(C(OCC(CCCCCC)CCCC)=O)S4)=C3C5=CC=C(C6=CC(C(C7=CC=C(CC(CC)CCCC)S7)=C(SC(C)=C8)C8=C9C%10=CC=C(CC(CCCC)CC)S%10)=C9S6)S5)S1
408,PBDTBDD (PM6),9.2,0.98,12.7,0.74,38.6,19.3 ,2.00 ,1248,5.45,3.65,1.8,CC1=CC=C(C(S2)=C3C(C(C4=C(C[C@@H](CCCC)CC)SC(C[C@@H](CCCC)CC)=C4C3=O)=O)=C2C5=CC=C(C6=CC(C(C7=CC(CC(CC)CCCC)=C(F)S7)=C(SC(C)=C8)C8=C9C%10=CC(CC(CC)CCCC)=C(F)S%10)=C9S6)S5)S1
